,fuelType_Clusters,tripsTaken_Clusters,dailyRate_Clusters,vehicleMake_Clusters,vehicleType_Clusters,vehicleAge_Clusters
792,0,0,1,4,1,0
793,0,3,1,0,1,3
794,0,2,1,0,0,3
795,0,3,1,0,3,1
796,0,0,1,1,0,4
797,0,0,1,0,0,0
798,0,3,1,0,0,1
799,0,2,1,3,0,0
800,0,0,1,0,0,3
801,0,0,1,2,0,4
802,4,0,3,3,3,3
803,0,0,3,2,0,3
804,0,0,1,4,0,3
805,0,0,1,0,0,4
806,0,0,1,0,0,0
807,3,2,1,0,4,4
808,0,0,1,0,0,4
809,1,0,0,2,4,0
810,0,2,1,1,0,4
811,0,0,1,4,1,1
812,0,0,1,2,0,0
813,0,3,1,2,0,0
814,0,0,1,3,0,0
815,0,0,1,3,1,4
816,0,0,1,4,1,4
817,0,2,1,2,0,0
818,0,0,1,3,0,4
819,0,0,1,2,3,3
820,0,2,1,2,0,3
821,0,0,1,2,0,4
822,0,3,1,2,0,3
823,0,0,1,4,1,3
824,0,0,1,2,1,3
825,0,0,1,2,1,3
826,0,0,1,2,1,1
827,3,1,1,3,0,0
828,0,4,1,0,0,0
829,0,4,1,4,0,0
830,0,4,1,1,0,0
831,0,0,1,1,0,0
832,0,4,1,0,0,0
833,3,4,1,3,4,0
834,0,4,1,0,0,0
835,0,1,1,4,1,3
836,0,0,1,4,1,4
837,3,0,3,2,4,3
838,0,0,3,3,1,0
839,0,0,1,3,0,2
840,3,3,1,4,1,3
841,0,0,1,4,3,3
842,0,0,1,4,0,0
843,0,0,1,1,1,4
844,3,0,1,2,2,3
845,0,0,1,0,3,3
846,0,0,1,2,0,4
847,0,0,1,2,0,4
848,0,0,1,0,0,4
849,0,0,0,3,1,3
850,0,0,1,1,3,3
851,0,3,1,3,1,4
852,0,0,3,1,0,3
853,0,0,1,4,1,3
854,0,3,1,1,2,0
855,0,3,1,2,0,0
856,3,1,3,3,0,4
857,3,2,1,3,1,1
858,3,1,1,2,4,0
859,0,0,3,3,0,0
860,3,3,3,3,1,1
861,3,3,1,2,4,4
862,0,3,3,3,0,4
863,3,0,3,2,4,4
864,1,0,0,1,0,3
865,0,3,3,4,1,0
866,1,3,0,1,0,0
867,1,0,0,1,0,0
868,2,3,0,2,0,0
869,0,3,1,3,1,3
870,3,0,1,2,0,0
871,0,0,3,4,1,0
872,0,0,3,3,0,0
873,2,0,1,0,0,0
874,0,0,1,2,0,3
875,0,0,1,0,2,0
876,0,0,1,3,1,1
877,1,0,3,1,4,3
878,0,0,0,3,1,0
879,1,0,3,1,0,3
880,0,0,0,4,1,0
881,0,0,3,4,1,0
882,3,1,1,3,1,1
883,3,0,1,2,4,0
884,0,3,1,2,0,0
885,0,0,1,3,0,0
886,0,3,1,4,0,0
887,0,3,3,3,0,3
888,0,0,1,1,0,4
889,0,0,1,3,0,4
890,0,0,1,0,0,0
891,0,0,1,3,0,0
892,0,0,1,0,0,0
893,0,0,0,3,0,0
894,0,1,1,1,0,3
895,3,0,1,3,4,1
896,2,0,0,2,4,0
897,0,3,1,0,0,3
898,0,0,1,0,0,0
899,0,0,1,4,0,0
900,0,0,1,0,0,4
901,0,0,1,1,0,3
902,0,0,0,2,0,0
903,0,0,1,2,0,0
904,0,0,1,1,0,1
905,2,2,1,2,0,4
906,0,0,1,0,0,3
907,0,1,1,0,3,1
908,0,0,1,3,1,4
909,0,0,1,3,0,0
910,0,0,1,1,0,3
911,1,3,3,1,1,3
912,4,3,3,3,1,0
913,1,2,3,1,0,3
914,1,2,3,1,0,3
915,0,0,1,1,1,4
916,1,3,3,1,1,3
917,1,3,3,1,1,3
918,0,2,1,2,0,0
919,1,3,3,1,4,3
920,2,3,1,2,0,0
921,0,3,1,3,0,0
922,0,3,1,1,1,3
923,1,3,3,1,1,3
924,0,3,3,0,1,0
925,1,0,3,1,1,0
926,0,2,1,3,1,0
927,0,3,1,1,1,1
928,3,1,1,1,1,1
929,0,1,1,1,1,1
930,0,1,1,1,1,1
931,0,3,1,0,1,3
932,1,0,3,1,1,3
933,0,3,1,4,1,0
934,0,0,3,4,0,4
935,0,2,1,1,1,1
936,0,1,1,3,1,4
937,0,1,1,1,1,1
938,0,3,1,0,0,4
939,4,0,1,3,1,4
940,0,0,1,3,1,1
941,0,3,1,0,3,1
942,3,1,1,1,2,1
943,0,0,1,3,1,4
944,0,1,1,1,1,0
945,0,3,1,2,0,4
946,3,1,1,1,2,1
947,0,0,1,1,1,4
948,3,0,1,4,1,3
949,0,3,1,2,0,1
950,3,3,1,2,3,1
951,0,0,1,1,1,4
952,3,1,1,1,2,1
953,3,4,1,1,0,1
954,0,0,1,0,3,4
955,0,1,1,1,1,1
956,0,0,1,3,1,4
957,0,0,1,3,1,4
958,0,3,1,1,1,0
959,3,1,1,1,2,1
960,3,1,1,1,1,1
961,0,2,1,3,3,3
962,1,0,3,1,1,3
963,3,1,1,1,2,4
964,3,2,1,1,2,4
965,0,0,1,0,1,4
966,0,4,1,1,1,1
967,0,2,1,1,1,1
968,3,2,1,0,0,0
969,1,3,3,1,0,3
970,0,2,1,1,3,0
971,3,0,3,2,1,0
972,3,1,1,1,1,1
973,0,0,1,1,1,4
974,0,0,3,0,1,3
